Date,Timestamp,Account No,Balance,Amount,Third Party Account No,Third Party Name,balance_change
2023-12-06,2024-04-30 06:51:00,169006407.0,13234.901783182886,-29.9,,Amazon,-29.898980733974895
2023-12-06,2024-04-30 07:38:00,822135975.0,13165.481359123029,-7.77,,AMAZON,-7.773125516310756
2023-12-04,2024-04-30 07:33:00,822718326.0,13137.345295024492,-13.89,,Topshop,-13.892706087392071
2023-12-05,2024-04-30 09:25:00,285873880.0,13084.061034812446,-14.19,,Loosely Fitted,-14.188848896588752
2023-12-06,2024-04-30 05:04:00,478412511.0,12829.869447002146,-24.56,,Boots,-24.56032772290564
2023-12-06,2024-04-30 06:10:00,285220959.0,12650.647598201354,-10.33,,Amazon,-10.32892073043331
2023-12-06,2024-04-30 05:19:00,873693307.0,12611.607492784851,-8.95,,Deliveroo,-8.950000000000728
2023-12-05,2024-04-30 10:07:00,143003091.0,12589.331013557226,-25.69,,Boots,-25.693201843798306
2023-12-06,2024-04-30 05:48:00,480557476.0,12571.4242298861,-1.24,,Etsy,-1.2359198460690095
2023-12-06,2024-04-30 09:00:00,540159353.0,12549.514556398535,-6.6,,Starbucks,-6.600000000000364
2023-12-04,2024-04-30 10:12:00,856957948.0,12512.321154533907,-36.97,,Five Senses Art,-36.970000000001164
2023-12-06,2024-04-30 03:16:00,473820682.0,12405.063549888171,-19.22,,Fat Face,-19.21595524436816
2023-12-05,2024-04-30 05:46:00,556992209.0,12277.315238008125,-30.17,,Tesco,-30.166737580275367
2023-12-06,,815385232.0,12245.673604529136,-2.11,,AMAZON,-2.1079768818508455
2023-12-06,2024-04-30 20:43:00,106601471.0,11920.401862653182,-37.25,,Coop Local,-37.24757562080231
2023-12-06,2024-04-30 08:53:00,373163757.0,11875.28980189042,-260.69,,Tesco,-260.6939999999995
2023-12-05,2024-04-30 20:34:00,844835978.0,11805.57763156293,-43.79,,Tesco,-43.79199999999946
2023-12-06,2024-04-30 19:35:00,285428103.0,11736.868336586644,-20.96,,Tesco,-20.95800000000054
2023-12-06,2024-04-30 08:18:00,973086490.0,11718.754580501383,-44.58,,Fat Face,-44.583293166888325
2023-12-06,2024-04-30 07:16:00,887853850.0,11590.792167847534,-25.76,,Revella,-25.75504491691754
2023-12-06,2024-04-30 08:52:00,245690309.0,11518.312130396998,-9.51,,Tesco,-9.505999999999403
2023-12-06,2024-04-30 08:20:00,874431242.0,11359.810305836769,-24.34,,JustEat,-24.340000000000146
2023-12-06,2024-04-30 08:04:00,270374623.0,11356.607721142083,-30.62,,Sainsbury,-30.61824580686516
2023-12-05,2024-04-30 09:42:00,129018172.0,11223.549468025862,-256.9,,Selfridges,-256.8999999999978
2023-12-06,2024-04-30 06:04:00,994214354.0,11145.584316772907,-32.88,,JustEat,-32.8799999999992
2023-12-06,2024-04-30 05:56:00,305778936.0,11083.122944862247,-15.98,,JustEat,-15.980000000001382
2023-12-06,2024-04-30 08:05:00,117273481.0,10927.647052867636,-35.95,,Sainsbury,
2023-12-06,2024-04-30 03:36:00,108481285.0,10704.071829999568,-9.01,,Selfridges,-9.009362395343487
2023-12-06,2024-04-30 02:16:00,348325817.0,10586.238419024628,-28.25,,Deliveroo,-28.25
2023-12-06,2024-04-30 08:16:00,897714622.0,10540.89143803414,-3.06,,Loosely Fitted,-3.062552006893384
2023-12-06,2024-04-30 06:31:00,930277104.0,10337.830857266012,-28.49,,Deliveroo,-28.48999999999978
2023-12-05,2024-04-30 17:28:00,315078351.0,10292.569636643486,-39.93,,Topshop,-39.92861019712291
2023-12-06,2024-04-30 08:33:00,951817450.0,10238.836518685444,-64.2,,Tesco,-64.2039999999979
2023-12-06,2024-04-30 05:40:00,738958551.0,10086.700609226837,-38.65,,JustEat,-38.649999999999636
2023-12-06,2024-04-30 06:09:00,668329719.0,10057.802670998077,-6.78,,Selfridges,-6.775539270473018
2023-12-04,2024-04-30 13:29:00,284905540.0,9984.388805745331,-107.8,,Matalan,-107.79999999999927
2023-12-06,2024-04-30 17:48:00,667367404.0,9973.533900824652,-35.84,,JD Sports,-35.840000000000146
2023-12-06,2024-04-30 08:08:00,785749304.0,9947.97147489076,-5.17,,Topshop,-5.165084963058689
2023-12-05,2024-04-30 09:18:00,851649498.0,9932.111384036396,-5.65,,Starbucks,-5.649999999999636
2023-12-06,2024-04-30 19:34:00,344219145.0,9858.600996107834,-14.74,,Fat Face,-14.74195720149146
2023-12-06,2024-04-30 05:00:00,200080192.0,9773.744708105472,-18.74,,Deliveroo,-18.73999999999978
2023-12-02,2024-04-30 08:23:00,948558249.0,9728.913461815642,-7.6,,Starbucks,-84.53999999999724
2023-12-06,2024-04-30 21:05:00,824916823.0,9709.172158853497,-32.94,,Deliveroo,-32.93999999999869
2023-12-06,2024-04-30 08:36:00,613729471.0,9687.858016449063,-3.69,,Amazon,-3.6917583179802023
2023-12-06,2024-04-30 06:12:00,364357875.0,9672.496678125137,-57.64,,Sainsbury Local,-57.64470574309962
2023-12-06,2024-04-30 17:31:00,166019891.0,9564.1365287916,-6.14,,Sports Direct,-6.140000000001237
2023-12-06,2024-04-30 05:28:00,331450202.0,9424.417058100662,-26.95,,Topshop,-26.948354198333618
2023-12-06,2024-04-30 07:39:00,461029994.0,9335.613297163543,-30.6,,Boots,-30.596942377413143
2023-12-06,2024-04-30 03:03:00,853907490.0,9292.409090558907,-10.7,,Deliveroo,-10.700000000000728
2023-12-06,2024-04-30 07:19:00,609939116.0,9241.717366495272,-9.27,,AMAZON,-9.266523396574485
2023-12-06,2024-04-30 18:58:00,503575533.0,9228.598110679244,-16.61,,Fat Face,-16.613613456196617
2023-12-06,2024-04-30 07:37:00,992204045.0,9203.49969809077,-18.09,,Amazon,-18.086739210988526
2023-12-06,2024-04-30 05:46:00,736340277.0,9131.894176335629,-19.45,,Deliveroo,-19.44999999999891
2023-12-06,2024-04-30 02:49:00,572384506.0,9094.065703743796,-44.09,,Deliveroo,-44.090000000000146
2023-12-06,2024-04-30 04:10:00,461990622.0,9071.230221046071,-16.05,,Sainsbury Local,-16.045926161288662
2023-12-06,2024-04-30 08:46:00,287480331.0,9028.361264385274,-45.55,,Sainsbury,-45.54529237441966
2023-12-06,2024-04-30 05:34:00,151968462.0,8996.188461960946,-18.87,,Coop Local,-18.872111793905788
2023-12-06,2024-04-30 09:47:00,399538448.0,8876.661997995912,-5.35,,Coffee #1,-5.350000000000364
2023-12-06,2024-04-30 06:29:00,910730524.0,8786.185130228474,-33.37,,Selfridges,-33.369755549261754
2023-12-06,2024-04-30 03:27:00,520447032.0,8772.699172869205,-24.13,,Deliveroo,-24.1299999999992
2023-12-06,2024-04-30 08:52:00,675806859.0,8748.429391554819,-28.03,,AMAZON,-28.02833038839526
2023-12-05,2024-04-30 11:49:00,475117511.0,8531.985388645127,-28.0,,Sports Direct,-28.0
2023-12-06,2024-04-30 12:37:00,355940285.0,8486.955978189684,-198.8,,Fat Face,-239.74999999999818
2023-12-06,2024-04-30 20:48:00,522188082.0,8471.141436684238,-17.05,,AMAZON,-17.047296528637162
2023-12-06,2024-04-30 06:27:00,433917275.0,8376.325478449684,-29.5,,Deliveroo,-29.5
2023-12-06,2024-04-30 06:34:00,229205098.0,8320.990344041444,-5.35,,Coop Local,-5.347031985696958
2023-12-06,2024-04-30 08:02:00,752362502.0,8315.877873675552,-22.18,,Fat Face,-22.184474833871718
2023-12-04,2024-04-30 17:11:00,449871732.0,8261.684369968103,-22.08,,Revella,-22.084760884692514
2023-12-06,2024-04-30 17:06:00,551755686.0,8215.998926654152,-66.98,,Sports Direct,-66.97999999999956
2023-12-06,2024-04-30 07:00:00,549414742.0,8203.137280528164,-27.94,,Deliveroo,-27.94000000000051
2023-12-06,2024-04-30 06:30:00,322720763.0,8179.668327825511,-1.98,,Sainsbury Local,-1.9765556065613055
2023-12-06,2024-04-30 06:14:00,471897866.0,8083.115346481349,-45.36,,Boots,-45.35899801894084
2023-12-06,2024-04-30 04:23:00,683319988.0,8045.751369550388,-29.89,,Deliveroo,-29.890000000001237
2023-12-06,2024-04-30 20:23:00,143061865.0,8033.846634939098,-4.03,,AMAZON,-4.030151349827975
2023-12-03,2024-04-30 14:43:00,141521177.0,7967.919900000015,-96.8,,Tesco,-96.79600000000028
2023-12-04,2024-04-30 17:45:00,140893085.0,7895.613056365462,-193.79,,Tesco,-238.7579999999998
2023-12-06,2024-04-30 07:07:00,195895574.0,7817.029365980238,-22.29,,JustEat,-22.289999999999964
2023-12-06,2024-04-30 17:34:00,613427466.0,7765.943455264379,-20.97,,The Works,-20.970000000000255
2023-12-06,2024-04-30 08:20:00,822250278.0,7757.276848955016,-4.28,,Fitted Stitch,-4.277036775844863
2023-12-06,2024-04-30 07:45:00,187111705.0,7684.156332690096,-26.31,,Amazon,-26.310846622400277
2023-12-06,2024-04-30 20:23:00,252760664.0,7647.841241461462,-59.13,,AMAZON,-59.12993344919505
2023-12-06,2024-04-30 06:22:00,256002321.0,7607.190537128446,-15.94,,JustEat,-15.9399999999996
2023-12-06,2024-04-30 16:22:00,698076160.0,7592.678837201855,-45.92,,Blackwell's,-45.92000000000007
2023-12-06,2024-04-30 17:47:00,758160963.0,7589.681724777471,-0.96,,Coop Local,-0.9639119392822977
2023-12-06,2024-04-30 07:04:00,769311479.0,7455.482490566695,-11.12,,Sainsbury Local,-11.116623411999171
2023-12-06,2024-04-30 06:47:00,534325901.0,7382.846085315585,-6.99,,JustEat,-6.989999999999782
2023-12-06,2024-04-30 13:17:00,688712152.0,7288.218690701315,-7.15,,Starbucks,-7.149999999999636
2023-12-06,2024-04-30 09:44:00,588565416.0,7278.932079939112,-20.07,,AMAZON,-20.070908720223088
2023-12-06,2024-04-30 12:31:00,996042490.0,7222.008082430419,-16.22,,Boots,-16.22207114626417
2023-12-06,2024-04-30 05:44:00,511179916.0,7158.755910645969,-0.26,,Topshop,-0.2562868865516066
2023-12-06,2024-04-30 03:53:00,264550521.0,7112.292628948262,-6.86,,Loosely Fitted,-6.860598813533215
2023-12-06,2024-04-30 05:51:00,587225252.0,7105.550048551972,-34.45,,Deliveroo,-34.44999999999982
2023-12-06,2024-04-30 04:29:00,237684254.0,7080.611596857049,-15.4,,Amazon,-15.399665309785632
2023-12-05,2024-04-30 08:30:00,491392945.0,6985.347500000012,-43.79,,Tesco,-104.74199999999928
2023-12-05,2024-04-30 12:28:00,534204159.0,6841.784305185661,-30.64,,Deliveroo,-30.640000000000327
2023-12-06,2024-04-30 03:11:00,482513594.0,6812.425865916463,-27.11,,Amazon,-27.111054570249507
2023-12-06,2024-04-30 03:18:00,639549973.0,6631.644613704224,-28.81,,Loosely Fitted,-28.81139443934444
2023-12-06,2024-04-30 06:41:00,213112754.0,6535.148770299568,-37.05,,Tesco,-37.053357637785666
2023-12-01,2024-04-30 00:00:00,878989510.0,6494.843467815366,2472.0,,Sunny Care Nursery,836.9699999999993
2023-12-03,2024-04-30 12:55:00,199016328.0,6467.201035099075,-37.95,,The Works,-53.9399999999996
2023-12-06,2024-04-30 08:01:00,280268430.0,6396.739433262342,-15.73,,Amazon,-15.733290691453476
2023-12-06,2024-04-30 06:17:00,134461671.0,6341.531001320822,-45.83,,Tesco,-45.82670214460268
2023-12-06,2024-04-30 09:11:00,815993333.0,6252.604066515882,-14.49,,Amazon,-14.488567311645966
2023-12-06,2024-04-30 18:07:00,633345190.0,6206.291233244409,-28.98,,Deliveroo,-28.979999999999563
2023-12-06,2024-04-30 04:37:00,145387690.0,6198.162708345381,-0.02,,Amazon,-0.018377134454567567
2023-12-06,2024-04-30 05:25:00,290818242.0,6196.649246938613,-2.65,,Tesco,-2.6467590629636106
2023-12-06,2024-04-30 06:49:00,324224854.0,6155.15932728805,-49.4,,Revella,-49.40448291833036
2023-12-06,2024-04-30 04:23:00,120634201.0,6126.390521925363,-23.38,,Deliveroo,-23.38000000000011
2023-12-02,2024-04-30 10:57:00,585133606.0,6121.504711631687,-51.98,,Five Senses Art,-51.97999999999956
2023-12-06,2024-04-30 06:55:00,987656636.0,6121.258897035102,-1.41,,Tesco,-1.412635922755726
2023-12-04,2024-04-30 02:34:00,215311171.0,6088.249923382263,-32.72,,Coop Local,-32.72327048006082
2023-12-06,2024-04-30 09:22:00,834383043.0,6081.761415159748,-5.99,,Brilliant Brushes,-5.989999999999782
2023-12-06,2024-04-30 08:32:00,851181128.0,6002.123241098415,-40.89,,Revella,-40.89003812630199
2023-12-05,2024-04-30 10:01:00,727417797.0,5963.403626772112,-6.99,,Five Senses Art,-6.989999999999782
2023-12-06,2024-04-30 04:28:00,408057540.0,5941.451037500422,-38.42,,Deliveroo,-38.42000000000007
2023-12-04,2024-04-30 07:48:00,986267641.0,5907.841578567127,-41.54,,Sainsbury,-41.539454042199395
2023-12-06,2024-04-30 11:21:00,767447966.0,5750.274922706574,-161.55,,Tesco,-161.55299999999988
2023-12-04,2024-04-30 12:21:00,355733816.0,5689.123720118672,-16.97,,The Works,-16.970000000000255
2023-12-05,2024-04-30 04:50:00,623156843.0,5662.060876498848,-61.64,,Selfridges,-61.63722647259692
2023-12-01,2024-04-30 00:00:00,314980178.0,5585.266850000006,-1285.0,,LBG,-1285.0
2023-12-05,2024-04-30 06:05:00,429556122.0,5578.510459904381,-53.03,,Selfridges,-53.03353843935474
2023-12-06,2024-04-30 07:10:00,221868392.0,5509.985711621034,-41.54,,JustEat,-41.539999999999964
2023-12-06,2024-04-30 05:41:00,940569402.0,5476.6096663072085,-15.35,,Deliveroo,-15.350000000000364
2023-12-01,2024-04-30 00:00:00,551196328.0,5438.005465435383,-567.0,,Halifax,57.95999999999913
2023-12-04,2024-04-30 09:46:00,653667523.0,5400.661594121482,-24.95,,The Works,-24.949999999999818
2023-12-04,2024-04-30 19:25:00,919185264.0,5398.249728102833,-11.71,,Coop Local,-11.706131637503859
2023-12-02,2024-04-30 09:26:00,663479159.0,5388.961541827712,-27.95,,The Works,-43.9399999999996
2023-12-05,2024-04-30 10:01:00,700138124.0,5335.998411230337,-48.57,,Sports Direct,-48.56999999999971
2023-12-01,2024-04-30 00:00:00,780463728.0,5216.08087094224,-508.0,,LBG,40.969999999999345
2023-12-06,2024-04-30 03:03:00,146909202.0,5213.262376844087,-19.68,,Deliveroo,-19.68000000000029
2023-12-06,2024-04-30 06:41:00,532478725.0,5164.739997218351,-35.34,,JustEat,-35.340000000000146
2023-12-01,2024-04-30 00:00:00,425964226.0,5109.780764114707,-799.0,,Halifax,140.96999999999935
2023-12-05,2024-04-30 10:29:00,779376323.0,5007.615833981341,-49.99,,Grand Union BJJ,-49.98999999999978
2023-12-06,2024-04-30 07:53:00,435984758.0,4906.494937013028,-37.15,,Coop Local,-37.148831516346036
2023-12-06,2024-04-30 06:15:00,541639148.0,4887.402347029749,-22.76,,Topshop,-22.76401643859117
2023-12-05,2024-04-30 06:22:00,492215823.0,4866.902223815445,-30.83,,Deliveroo,-30.829999999999927
2023-12-01,2024-04-30 00:00:00,435313070.0,4675.0733330332205,2046.0,,Fat Face,1263.9899999999998
2023-12-01,2024-04-30 00:00:00,627917561.0,4659.515050000006,-856.0,,Halifax,42.969999999999345
2023-12-06,2024-04-30 05:10:00,198946608.0,4654.112882807986,-84.56,,Lloyds Pharmacy,-84.55943797717555
2023-12-05,2024-04-30 06:37:00,812692024.0,4603.383712951308,-48.29,,Coop Local,-48.287877570515775
2023-12-06,2024-04-30 03:42:00,987163717.0,4586.546078176684,-41.14,,Deliveroo,-41.14000000000033
2023-12-06,2024-04-30 06:25:00,842682241.0,4551.820732562672,-44.67,,Selfridges,-44.67261980405692
2023-12-06,2024-04-30 06:44:00,655368335.0,4542.236533799308,-57.57,,Lloyds Pharmacy,-57.56799948938442
2023-12-03,2024-04-30 05:24:00,361201224.0,4531.23456841002,-3.37,,Sainsbury,-3.368816422071177
2023-12-06,2024-04-30 12:23:00,854895960.0,4521.580161043493,-9.29,,Coop Local,-44.27313024684645
2023-12-06,2024-04-30 03:46:00,179173981.0,4485.374630008081,-30.93,,JustEat,-30.93000000000029
2023-12-06,2024-04-30 06:28:00,678851253.0,4465.386209778264,-57.09,,Boots,-57.09040775221911
2023-12-05,2024-04-30 18:05:00,405945930.0,4373.886219465059,-22.9,,JustEat,-22.899999999999636
2023-12-06,2024-04-30 12:12:00,679943657.0,4360.938889180138,-5.4,,Starbucks,-5.399999999999636
2023-12-06,2024-04-30 07:03:00,836110591.0,4340.178623559948,-48.9,,Deliveroo,-48.89999999999873
2023-12-06,2024-04-30 04:37:00,322221939.0,4333.540229187524,-17.48,,Selfridges,-17.483891859371397
2023-12-06,2024-04-30 09:42:00,137822385.0,4277.775703161885,-27.96,,Blackwell's,-27.960000000000036
2023-12-06,2024-04-30 19:24:00,949032480.0,4252.421909474946,-30.84,,Deliveroo,-30.840000000000146
2023-12-06,2024-04-30 13:31:00,570323670.0,4162.487256450264,-0.53,,Topshop,-0.5255930904413617
2023-12-06,2024-04-30 10:28:00,570269025.0,4094.779145837062,-41.99,,Sports Direct,-41.98999999999978
2023-12-06,2024-04-30 05:13:00,933491926.0,4080.180218368096,-35.4,,Topshop,-35.404865001398775
2023-12-02,2024-04-30 19:39:00,550832673.0,4078.9460163955114,-68.11,,Tesco,-210.08999999999878
2023-12-06,2024-04-30 10:01:00,903953091.0,4073.388790134576,-5.5,,Starbucks,-5.5
2023-12-06,2024-04-30 09:16:00,558875206.0,4061.7375393997822,-5.7,,Costa Coffee,-5.699999999999818
2023-12-06,2024-04-30 17:26:00,859603181.0,4024.788125197536,-22.04,,The Works,-22.039999999999964
2023-12-05,2024-04-30 17:44:00,627622066.0,3988.562372169631,-60.98,,Sports Direct,-60.98000000000002
2023-12-06,2024-04-30 05:55:00,766941757.0,3980.624664992592,-26.59,,JustEat,-26.5900000000006
2023-12-06,2024-04-30 07:44:00,519644021.0,3943.7010716011023,-0.27,,Tesco,-0.273948268305503
2023-12-06,2024-04-30 03:14:00,601627384.0,3902.2943156550623,-34.88,,JustEat,-34.88000000000011
2023-12-06,2024-04-30 03:03:00,383625050.0,3869.922966993743,-14.49,,Coop Local,-14.488664796998364
2023-12-03,2024-04-30 08:11:00,868377987.0,3805.4556567228888,-31.09,,AMAZON,-108.02998945499121
2023-12-05,2024-04-30 12:25:00,661295096.0,3797.348214784424,-35.98,,Cass Art,-35.98000000000002
2023-12-06,2024-04-30 17:28:00,147474476.0,3795.530859120132,-21.97,,The Works,-21.969999999999345
2023-12-05,2024-04-30 03:01:00,559995067.0,3780.022699942541,-38.36,,Selfridges,-38.36453476750967
2023-12-06,2024-04-30 06:53:00,414454079.0,3777.5148500000014,-33.85,,Deliveroo,-33.85000000000082
2023-12-06,2024-04-30 17:38:00,901432314.0,3716.9431607333145,-43.87,,Sainsbury Local,-43.871581015766424
2023-12-04,2024-04-30 08:37:00,423208402.0,3705.139450000004,-33.5,,Tesco,-33.49605000000065
2023-12-06,2024-04-30 20:00:00,531186970.0,3693.1588078659806,-26.56,,Sainsbury,-26.558577432445873
2023-12-05,2024-04-30 06:00:00,409971170.0,3662.396047950587,-51.82,,Sainsbury,-51.8169975209903
2023-12-06,2024-04-30 08:13:00,776431321.0,3652.536972173123,-17.16,,Etsy,-17.16142313046248
2023-12-06,2024-04-30 07:17:00,116598243.0,3634.474221777451,-6.05,,Starbucks,-6.050000000000182
2023-12-05,2024-04-30 04:55:00,611143859.0,3613.1274000000135,-39.5,,Deliveroo,-39.5
2023-12-05,2024-04-30 03:58:00,421881811.0,3598.3046994878987,-19.05,,Sainsbury Local,-19.048793131893945
2023-12-02,2024-04-30 09:18:00,703478110.0,3595.3477499085843,-21.97,,The Works,-37.95999999999958
2023-12-06,2024-04-30 16:35:00,886921642.0,3579.9125023806964,-20.45,,Deliveroo,-20.449999999999363
2023-12-05,2024-04-30 18:32:00,624500124.0,3576.2903506052976,-107.02,,Tesco,-107.01600000000008
